eval_prompt,ground_truth,model_output
"import time, sys

n, m = [int(i) for i in sys.stdin.readline().split()]
a = [int(i) for i in sys.stdin.readline().split()]
t1 = time.time()
w = [(i+1)*(n-i-1) for i in range(n-1)]
c = sum([w[i] if a[i+1] != a[i] else 0 for i in range(n-1)])
for _ in range(m):
    ix, x = [int(i) for i in sys.stdin.readline().split()]
    ix -= 1
    if ix != 0:
        if a[ix] == a[ix-1] != x:
            c += w[ix-1]
        elif {{completion}}
            c -= w[ix-1]
    if ix != n-1:
        if a[ix] == a[ix+1] != x:
            c += w[ix]
        elif a[ix] != a[ix+1] == x:
            c -= w[ix]
    a[ix] = x

    sys.stdout.write(str(c+(n*(n+1))//2) + '\n')",a[ix] != a[ix-1] == x:,a[ix]!= a[ix+1] == x:
"import time, sys

n, m = [int(i) for i in sys.stdin.readline().split()]
a = [int(i) for i in sys.stdin.readline().split()]
t1 = time.time()
w = [(i+1)*(n-i-1) for i in range(n-1)]
c = sum([w[i] if a[i+1] != a[i] else 0 for i in range(n-1)])
for _ in range(m):
    ix, x = [int(i) for i in sys.stdin.readline().split()]
    ix -= 1
    if ix != 0:
        if a[ix] == a[ix-1] != x:
            c += w[ix-1]
        elif a[ix] != a[ix-1] == x:
            c -= w[ix-1]
    if ix != n-1:
        if a[ix] == a[ix+1] != x:
            c += w[ix]
        elif {{completion}}
            c -= w[ix]
    a[ix] = x

    sys.stdout.write(str(c+(n*(n+1))//2) + '\n')",a[ix] != a[ix+1] == x:,a[ix]!= a[ix+1] == x:
"import sys
import collections
inf=float('inf')
mod=10**5+7
input = lambda: sys.stdin.readline().rstrip()
inpnm = lambda: map(int,input().split())
inparr = lambda: [int(i) for i in input().split()]
inpint = lambda: int(input())
# for case in range(inpint()):
n,m=inpnm()
arr=inparr()
res=[1]
cnt=0
se=1
t=1
for i in range(1,n):
    if arr[i]==arr[i-1]:
        cnt+=1
        res.append(res[-1]+1)
    else:
 
        se+=1
        t=res[-1]
        res.append(res[-1]+se+cnt)
 
ans=sum(res)
for q in range(m):
 
    i,x=inpnm()
    i-=1
    if {{completion}}
        ans-=i*(n-i)
    if i!=n-1 and arr[i+1]!=arr[i]:
        ans-=(i+1)*(n-i-1)
 
    arr[i]=x
 
    if i!=0 and arr[i-1]!=x:
        ans+=i*(n-i)
 
    if i!=n-1 and arr[i+1]!=x:
        ans+=(i+1)*(n-i-1)
    print(ans)",i!=0 and arr[i-1]!=arr[i]:,i!=n-1 and arr[i+1]!=arr[i]:
"import sys
import collections
inf=float('inf')
mod=10**5+7
input = lambda: sys.stdin.readline().rstrip()
inpnm = lambda: map(int,input().split())
inparr = lambda: [int(i) for i in input().split()]
inpint = lambda: int(input())
# for case in range(inpint()):
n,m=inpnm()
arr=inparr()
res=[1]
cnt=0
se=1
t=1
for i in range(1,n):
    if arr[i]==arr[i-1]:
        cnt+=1
        res.append(res[-1]+1)
    else:
 
        se+=1
        t=res[-1]
        res.append(res[-1]+se+cnt)
 
ans=sum(res)
for q in range(m):
 
    i,x=inpnm()
    i-=1
    if i!=0 and arr[i-1]!=arr[i]:
        ans-=i*(n-i)
    if {{completion}}
        ans-=(i+1)*(n-i-1)
 
    arr[i]=x
 
    if i!=0 and arr[i-1]!=x:
        ans+=i*(n-i)
 
    if i!=n-1 and arr[i+1]!=x:
        ans+=(i+1)*(n-i-1)
    print(ans)",i!=n-1 and arr[i+1]!=arr[i]:,i!=n-1 and arr[i+1]!=arr[i]:
"def update_awesomeness(arr, i, x, curr_aws):
    left_edit = (x != arr[i - 1]) - (arr[i] != arr[i - 1]) if i != 0 else 0
    right_edit = (x != arr[i + 1]) - (arr[i] != arr[i + 1]) if i != n - 1 else 0
    arr[i] = x
    return curr_aws + left_edit * i * (n - i) + right_edit * (i + 1) * (n - i - 1)


INPUT = [*open(0)]

n, m = map(int, INPUT[0].split())
arr = list(map(int, INPUT[1].split()))
tar = [0] * n
aws = (n * (n + 1)) // 2

for {{completion}}
    aws = update_awesomeness(tar, i, x, aws)

for line in INPUT[2:]:
    i, x = map(int, line.split())
    aws = update_awesomeness(tar, i - 1, x, aws)
    print(aws)","i, x in enumerate(arr):",(m):
"def update_awesomeness(arr, i, x, curr_aws):
    left_edit = (x != arr[i - 1]) - (arr[i] != arr[i - 1]) if i != 0 else 0
    right_edit = (x != arr[i + 1]) - (arr[i] != arr[i + 1]) if i != n - 1 else 0
    arr[i] = x
    return curr_aws + left_edit * i * (n - i) + right_edit * (i + 1) * (n - i - 1)


INPUT = [*open(0)]

n, m = map(int, INPUT[0].split())
arr = list(map(int, INPUT[1].split()))
tar = [0] * n
aws = (n * (n + 1)) // 2

for i, x in enumerate(arr):
    aws = update_awesomeness(tar, i, x, aws)

for {{completion}}
    i, x = map(int, line.split())
    aws = update_awesomeness(tar, i - 1, x, aws)
    print(aws)",line in INPUT[2:]:,"i, x in enumerate(arr):"
"""""""
author: Manoj
inp_start
5 5
1 2 3 4 5
3 2
4 2
3 1
2 1
2 2

inp_end
""""""
n, m = list(map(int, input().split()))
li = list(map(int, input().split()))
ans = int((n*(n+1))/2)

for i in range(1, n):
	if li[i]!=li[i-1]:
		ans += i*(n-i) 

al = []
for tc in range(m):
	i, x = list(map(int, input().split()))
	i -= 1
	if i>0:
		if {{completion}}
			ans-=i*(n-i)
		if x!=li[i-1]:
			ans+=i*(n-i)
	if i+1<n:
		if li[i]!=li[i+1]:
			ans-=(i+1)*(n-i-1)
		if x!=li[i+1]:
			ans+=(i+1)*(n-i-1)
			
	li[i]=x
	al.append(ans)
	
print(*al)
	
	",li[i]!=li[i-1]:,x!=li[i-1]:
"""""""
author: Manoj
inp_start
5 5
1 2 3 4 5
3 2
4 2
3 1
2 1
2 2

inp_end
""""""
n, m = list(map(int, input().split()))
li = list(map(int, input().split()))
ans = int((n*(n+1))/2)

for i in range(1, n):
	if li[i]!=li[i-1]:
		ans += i*(n-i) 

al = []
for tc in range(m):
	i, x = list(map(int, input().split()))
	i -= 1
	if i>0:
		if li[i]!=li[i-1]:
			ans-=i*(n-i)
		if {{completion}}
			ans+=i*(n-i)
	if i+1<n:
		if li[i]!=li[i+1]:
			ans-=(i+1)*(n-i-1)
		if x!=li[i+1]:
			ans+=(i+1)*(n-i-1)
			
	li[i]=x
	al.append(ans)
	
print(*al)
	
	",x!=li[i-1]:,li[i]!=li[i-1]:
"import sys
input=lambda:sys.stdin.readline().rstrip()
n,q=map(int,input().split())
arr=[0]+[*map(int,input().split())]+[0]
awe=0
awr=[0]*(n+1)
for i in range(1,n+1):
    if {{completion}}
        awr[i]+=awr[i-1]+(i-1)
    else:
        awr[i]+=awr[i-1]
    awr[i]+=1
awe=sum(awr)
for _ in range(q):
    i,x=map(int,input().split())
    lprev=arr[i]!=arr[i-1]
    rprev=arr[i]!=arr[i+1]
    arr[i]=x
    laftr=arr[i]!=arr[i-1]
    raftr=arr[i]!=arr[i+1]
    dl=laftr-lprev
    dr=raftr-rprev
    awe+=dl*(i-1)*(n-i+1)
    awe+=dr*(i)*(n-i)
    print(awe)",arr[i]!=arr[i-1]:,"i in range(1, n + 1):"
"



import sys
input=sys.stdin.readline #文字列入力はするな！！



########################################
from heapq import heappush, heappop
B=10**5+10
def dijkstra( G, dist, INF=10**11):
    """"""
    https://tjkendev.github.io/procon-library/python/graph/dijkstra.html
    O((|E|+|V|)log|V|)
    V: 頂点数
    G[v] = [(nod, cost)]:
        頂点vから遷移可能な頂点(nod)とそのコスト(cost)
    s: 始点の頂点""""""

    N=len(dist)
    hp=[]
    for i in range(N):
        heappush(hp,dist[i]*B+i)
    while hp:
        cv=heappop(hp)
        c, v = cv//B,cv%B
        if dist[v] < c:
            continue
        for u, cost in G[v]:
            if {{completion}}
                dist[u] = dist[v] + cost
                heappush(hp, dist[u]*B+u)
    return dist
##################################################




#########################################
from collections import deque
class Convex_Hull_Trick():

    #https://tjkendev.github.io/procon-library/python/convex_hull_trick/deque.html
    #追加する傾きが単調かつqueryのxが単調
    #単調性なしが良いならこちらへ(queryのxは先読み) https://judge.yosupo.jp/submission/30579

    def __init__(self):
        self.deq=deque()
    def check(self,f1, f2, f3):
        return (f2[0] - f1[0]) * (f3[1] - f2[1]) >= (f2[1] - f1[1]) * (f3[0] - f2[0])
    def f(self,f1, x):
        return f1[0] * x + f1[1]

    # add f_i(x) = a*x + b
    def add_line(self,a, b):
        f1 = (a, b)
        while len(self.deq) >= 2 and self.check(self.deq[-2], self.deq[-1], f1):
            self.deq.pop()
        self.deq.append(f1)

    # min f_i(x)
    def query(self,x):
        while len(self.deq) >= 2 and self.f(self.deq[0], x) >= self.f(self.deq[1], x):
            self.deq.popleft()
        return self.f(self.deq[0], x)

##################################


n,m,k=map(int,input().split())
root=[[] for i in range(n+2)]
for i in range(m):
    a,b,c=map(int,input().split())
    root[a].append((b,c))
    root[b].append((a,c))
dp=[10**11]*(n+1)
dp[1]=0
dp=dijkstra(root,dp)
for iii in range(k):
    newdp=[10**11]*(n+1)
    cht=Convex_Hull_Trick()
    for i in range(1,n+1):
        cht.add_line(-2*i,dp[i]+i**2)
    for i in range(1,n+1):
        newdp[i]=cht.query(i)+i**2


    dp=newdp[:]
    dp=dijkstra(root,dp)
print(*dp[1:])




",dist[v] + cost < dist[u]:,"u, cost in G[v]:"
"



import sys
input=sys.stdin.readline #文字列入力はするな！！



########################################
from heapq import heappush, heappop
B=10**5+10
def dijkstra( G, dist, INF=10**11):
    """"""
    https://tjkendev.github.io/procon-library/python/graph/dijkstra.html
    O((|E|+|V|)log|V|)
    V: 頂点数
    G[v] = [(nod, cost)]:
        頂点vから遷移可能な頂点(nod)とそのコスト(cost)
    s: 始点の頂点""""""

    N=len(dist)
    hp=[]
    for i in range(N):
        heappush(hp,dist[i]*B+i)
    while hp:
        cv=heappop(hp)
        c, v = cv//B,cv%B
        if dist[v] < c:
            continue
        for {{completion}}
            if dist[v] + cost < dist[u]:
                dist[u] = dist[v] + cost
                heappush(hp, dist[u]*B+u)
    return dist
##################################################




#########################################
from collections import deque
class Convex_Hull_Trick():

    #https://tjkendev.github.io/procon-library/python/convex_hull_trick/deque.html
    #追加する傾きが単調かつqueryのxが単調
    #単調性なしが良いならこちらへ(queryのxは先読み) https://judge.yosupo.jp/submission/30579

    def __init__(self):
        self.deq=deque()
    def check(self,f1, f2, f3):
        return (f2[0] - f1[0]) * (f3[1] - f2[1]) >= (f2[1] - f1[1]) * (f3[0] - f2[0])
    def f(self,f1, x):
        return f1[0] * x + f1[1]

    # add f_i(x) = a*x + b
    def add_line(self,a, b):
        f1 = (a, b)
        while len(self.deq) >= 2 and self.check(self.deq[-2], self.deq[-1], f1):
            self.deq.pop()
        self.deq.append(f1)

    # min f_i(x)
    def query(self,x):
        while len(self.deq) >= 2 and self.f(self.deq[0], x) >= self.f(self.deq[1], x):
            self.deq.popleft()
        return self.f(self.deq[0], x)

##################################


n,m,k=map(int,input().split())
root=[[] for i in range(n+2)]
for i in range(m):
    a,b,c=map(int,input().split())
    root[a].append((b,c))
    root[b].append((a,c))
dp=[10**11]*(n+1)
dp[1]=0
dp=dijkstra(root,dp)
for iii in range(k):
    newdp=[10**11]*(n+1)
    cht=Convex_Hull_Trick()
    for i in range(1,n+1):
        cht.add_line(-2*i,dp[i]+i**2)
    for i in range(1,n+1):
        newdp[i]=cht.query(i)+i**2


    dp=newdp[:]
    dp=dijkstra(root,dp)
print(*dp[1:])




","u, cost in G[v]:",dp[v] + cost < dp[u]:
"n,k=map(int,input().split())
l=list(map(int,input().split()))

ans=-2
b=l.count(0)

for y in range(n):
	a=l[y:]+l[:y]
	ind=[]
	s=0
	
	for i in range(n):
		if {{completion}}
			ind+=[i]
			a[i]=k
		s+=a[i]
	
	while s>0 and len(ind)>0:
		a[ind[-1]]=max(k-s,-k)
		s+=(-k+a[ind[-1]])
		ind=ind[:-1]
	
	s=0
	f=0
	for i in range(n):
		s+=a[i]
		f=max(f,s)
	
	if sum(a)==0:
		ans=max(ans,f)
	

print(ans+1)
",a[i]==0:,s>0 and len(ind)>0:
"R=lambda:map(int,input().split())
n,k=R();n+=1
a=[0]+[*R()]

p0,p=[0]*n,[0]*n
for i in range(1,n):
  p0[i]=p0[i-1]+int(a[i]==0)
  p[i]=p[i-1]+a[i]
s=p[-1]

if p0[-1]*k<abs(s):
  res=-1
else:
  res=0
  for i in range(n):
    for {{completion}}
      l0=p0[j]-p0[i];r0=p0[-1]-l0
      l,r=max(-l0*k, -s-r0*k),min(l0*k, -s+r0*k)
      v=p[j]-p[i]
      res=max(res, 1+abs(v+l), 1+abs(v+r))
print(res)","j in range(i+1,n):",p0[j]-p0[i]<0:
"import sys
input = sys.stdin.readline

def ProGamerMove():
	n, k = map(int, input().split())
	a = list(map(int, input().split()))
	zeros = a.count(0)
	sm = sum(a)
	s1, s2 = 0, 0
	c1, c2 = 0, 0
	res = -2
	def intersect(m1, b1, m2, b2):
		l1, r1 = m1 - b1 * k, m1 + b1 * k
		l2, r2 = m2 - b2 * k, m2 + b2 * k
		return not (r1 < l2 or r2 < l1)
	for l in range(0, n + 1):
		s2, c2 = 0, 0
		for r in range(0, n + 1):
			if l <= r:
				b1, b2, b3 = c1, c2 - c1, zeros - c2
				m1, m2, m3 = s1, s2 - s1, sm - s2
				# b1 + b3 == -b2
				# min b1, b3
				if {{completion}} continue
				r1 = max(m1 + m3 - (b1 + b3) * k, -m2 - b2 * k)
				r2 = min(m1 + m3 + (b1 + b3) * k, -m2 + b2 * k)
				res = max(res, abs(r1), abs(r2))
			if r < n:
				s2 += a[r]
				c2 += a[r] == 0
		if l < n:
			s1 += a[l]
			c1 += a[l] == 0
	print(res + 1)

n = 1
#n = int(input())
for _ in range(0, n): ProGamerMove()
","not intersect(m1 + m3, b1 + b3, -m2, b2):",b1 + b3 == -b2
"n, k = map(int, input().split())
A = list(map(int, input().split()))

ans = 0
for i in range(n):
    C = [0]*n
    for j in range(n-1, -1, -1):
        if A[j] == 0:
            C[j] = 1
        if j+1 < n:
            C[j] += C[j+1]
    B = A.copy()
    s = sum(B)
    flag = True
    for j in range(n):
        if B[j] == 0:
            if {{completion}}
                x = C[j+1]
            else:
                x = 0
            B[j] = min(k, x*k-s)
            if B[j] < -k:
                flag = False
            s += B[j]
    if flag:
        pos = 0
        mn = 0
        mx = 0
        for j in range(n):
            pos += B[j]
            mn = min(mn, pos)
            mx = max(mx, pos)
        if pos == 0:
            ans = max(ans, mx-mn+1)
    A = A[1:]+A[0:1]

if ans != 0:
    print(ans)
else:
    print(-1)
",j+1 < n:,B[j] < -k:
"n, k = map(int, input().split())
A = list(map(int, input().split()))

ans = 0
for i in range(n):
    C = [0]*n
    for j in range(n-1, -1, -1):
        if A[j] == 0:
            C[j] = 1
        if j+1 < n:
            C[j] += C[j+1]
    B = A.copy()
    s = sum(B)
    flag = True
    for j in range(n):
        if B[j] == 0:
            if j+1 < n:
                x = C[j+1]
            else:
                x = 0
            B[j] = min(k, x*k-s)
            if {{completion}}
                flag = False
            s += B[j]
    if flag:
        pos = 0
        mn = 0
        mx = 0
        for j in range(n):
            pos += B[j]
            mn = min(mn, pos)
            mx = max(mx, pos)
        if pos == 0:
            ans = max(ans, mx-mn+1)
    A = A[1:]+A[0:1]

if ans != 0:
    print(ans)
else:
    print(-1)
",B[j] < -k:,B[j] < -k:
"MOD = 998244353
TRANS = [6, 3, 7, 4, 1, 0]
 
s = input().strip()
dp = [0] * 7 + [1]
for c in map(int, s):
    dp1 = [0] * 8
    for i in range(8):
        for k in TRANS:
            if c:
                dp1[k & i] += dp[i]
            elif {{completion}}
                dp1[i] += dp[i]
    dp = [x % MOD for x in dp1]
n = int(s, base=2) + 1
print((n**3 + 3 * n**2 - n - 3 * sum(dp)) % MOD)",(k & i) == 0:,(k&i)==0:
"MOD=998244353
TRANS=[6,3,7,4,1,0]
s=input().strip()
dp=[0]*7+[1]
for c in map(int,s):
    dp1=[0]*8
    for i in range(8):
        for k in TRANS:
            if c:
                dp1[k&i]+=dp[i]
            elif{{completion}}
                dp1[i]+=dp[i]
    dp=[x%MOD for x in dp1]
n=int(s,base=2)+1
print((n**3+3*n**2-n-3*sum(dp))%MOD)",(k&i)==0:,(k&i)==0:
"I=input
for _ in [0]*int(I()):
  I();p,z,zero=0,1,0
  for v in I().split():
    p+=int(v)
    if {{completion}}z=0;break
    if p==0:zero=True
    if p<0:z=0;break
  print(['NO','YES'][zero and z])",zero and p>0:,p==0:
"I=input
for _ in [0]*int(I()):
  I();p,z,zero=0,1,0
  for v in I().split():
    p+=int(v)
    if zero and p>0:z=0;break
    if {{completion}}zero=True
    if p<0:z=0;break
  print(['NO','YES'][zero and z])",p==0:,zero and p>0:
"import sys
input = lambda : sys.stdin.readline().rstrip()

dx = [-1, 0, 1, 0]
dy = [0, -1, 0, 1]


def solve():
    n = int(input())
    arr = list(map(int, input().split()))
    
    if sum(arr)!=0:
        return 0

    psum = 0
    f = 0
    
    for i in range(len(arr)):
        psum += arr[i]
        if psum < 0:
            return 0
        if psum==0:
            f = 1
        elif {{completion}}
            return 0
        
    return 1


for __ in range(int(input())):
    print('Yes' if solve() else 'No')",f:,psum==0:
"for _ in range(int(input())):
    n = int(input())
    a = list(map(int,input().split()))
    tot = a[0]

    for i in range(1, n):
        if tot < 0:
            break
        elif tot == 0:
            if {{completion}}
                break
        else:
            tot += a[i]
    else:
        if tot == 0:
            print(""Yes"")
            continue

    print(""No"")
",a[i] != 0:,tot<0:
"from sys import stdin

t = int(stdin.readline())
for h in range(t):
    n = int(stdin.readline())
    a = list(map(int,stdin.readline().split(' ')))
    b = 0
    v = True
    for i in range(n):
        b += a[i]
        if b<0:
            v = False
            break
        elif b==0:
            for j in range(i+1,n):
                if {{completion}}
                    v = False
                    break
            break
    if v and sum(a) == 0:
        print('YES')
    else:
        print('NO')",a[j] != 0:,b==0:
"for _ in [0]*int(input()):
    input()
    n = list(map(int,input().split()))
    s,f,m = 0,0,0
    for i in n:
        s+=i
        if {{completion}}m = 1;break
        if s==0:f=1
        if f and s>0:m=1;break
    print(""YNEOS""[(m or not f)::2])",s<0:,s==0:
"for _ in [0]*int(input()):
    input()
    n = list(map(int,input().split()))
    s,f,m = 0,0,0
    for i in n:
        s+=i
        if s<0:m = 1;break
        if {{completion}}f=1
        if f and s>0:m=1;break
    print(""YNEOS""[(m or not f)::2])",s==0:,s<0:
"if __name__ == '__main__':
    t = int(input())

    for _ in range(t):
        n = int(input())
        a = [int(i) for i in input().split()]

        x = a[0]

        ok = True
        for v in a[1:]:
            if {{completion}}
                ok = False
                break
            if x == 0 and v != 0:
                ok = False
                break
            x += v

        print(""yes"" if ok and x == 0 else ""no"")
",x < 0:,x == 0 and v!= 0:
"if __name__ == '__main__':
    t = int(input())

    for _ in range(t):
        n = int(input())
        a = [int(i) for i in input().split()]

        x = a[0]

        ok = True
        for v in a[1:]:
            if x < 0:
                ok = False
                break
            if {{completion}}
                ok = False
                break
            x += v

        print(""yes"" if ok and x == 0 else ""no"")
",x == 0 and v != 0:,x < 0:
"input = __import__('sys').stdin.readline


def solve():
    n = int(input())
    allzeros = False
    total = 0
    for x in map(int, input().split()):
        total += x
        if {{completion}}
            print('No')
            return
        allzeros = allzeros or total == 0

    print('YES' if total == 0 else 'NO')


for _ in range(int(input())):
    solve()",total < 0 or total != 0 and allzeros:,total==0:
"import sys
input=sys.stdin.readline
I = lambda : list(map(int,input().split()))

t,=I()
for _ in range(t):
	n, = I()
	l = I()
	pos = 0
	if sum(l)!=0 or l[-1]>0:
		pos=1
	else:
		pref = l[0]
		seen = 0
		if pref<0:
			pos=1
		if pref==0:
			seen = 1
		for i in range(1,n):
			pref+=l[i]
			if pref<0:
				pos=1
				break
			elif pref==0:
				seen = 1
			else:
				if {{completion}}
					pos=1
					break
	print(""YNeos""[pos::2])",seen:,pref<0:
"for t in range(int(input())):
    
    n=int(input())
    a=list(map(int,input().split()))
    i=n-1
    while(a[i]==0 and i!=0):
        i-=1 
    while(i>0):
        if a[i]>=0:
            print(""NO"")
            break
        a[i-1]+=a[i]
        i-=1
    else:
        if {{completion}}
            print(""YES"")
        else:
            print(""NO"")
",a[i]==0:,a[i]>=0:
"for i in range(int(input())):
    n=int(input())
    c=[int(j) for j in input().split()]
    k=1
    if [0]*n==c:
        print('Yes')
    else:
        g=0
        while c[-1]==0:
            c.pop()
        while len(c)-1:
            if {{completion}}
                k=0
                break
            g=g-c.pop()
        print(['No','Yes'][g==c[0] and k])",g<=c[-1]:,k==0:
"import heapq as hq
INF = 1001001001
N, M = map(int, input().split())
G = [[] for _ in range(N)]
d = [0] * N
for _ in range(M):
    U, V = map(int, input().split())
    G[V - 1].append(U - 1)
    d[U - 1] += 1

dists = [INF] * N
dists[N - 1] = 0
queue = [(0, N - 1)]
while queue:
    dist, V = hq.heappop(queue)
    if dists[V] < dist: continue
    for v in G[V]:
        if {{completion}}
            dists[v] = dist + d[v]
            hq.heappush(queue, (dist + d[v], v))
        d[v] -= 1
print(dists[0])",dist + d[v] < dists[v]:,dists[v]<dist+d[v]:
"from heapq import*;I=input;R=lambda:map(int,I().split())
n,m=R();g,q,vis=[[] for _ in range(n)],[(0,n-1)],[0]*n
d,out=[m+1]*n,[0]*n;d[-1]=0
for _ in range(m):u,v=R();u,v=u-1,v-1;g[v].append(u);out[u]+=1
while q:
  _,u=heappop(q)
  if vis[u]:continue
  vis[u]=1
  for v in g[u]:
    if {{completion}}d[v]=d[u]+out[v];heappush(q,(d[v],v))
    out[v]-=1
print(d[0])",d[u]+out[v]<d[v]:,d[v]>d[u]+out[v]:
