eval_prompt,ground_truth,model_output
"import sys
ipt = sys.stdin.readline

def iin():
    return int(ipt())

def lmin():
    return list(map(int,ipt().split()))

MOD = 998244353

from heapq import heappop,heappush

for _ in range(iin()):
    
    K = iin()
    S = ipt()[:-1]
    N = len(S)
    cnt = [0,0,0,0,0,0,0,0]
    st = []
    ans = 0
    for i,s in enumerate(S):
        if s == ""("":
            ans += len(st)
            st.append(i)
        else:
            {{completion}}
            
    cnt.sort()
    if K:
        ans -= sum(cnt[-K:])
    print(ans)


    ",cnt.append((i-st.pop())//2),"st.pop()
cnt[len(st)] += 1"
"import sys
input = sys.stdin.readline 

for _ in range(int(input())):
    n = int(input()) 
    a = list(map(int, input().split())) 
    s = 0 
    for i in range(n):
        if(i % 2 == 0):
            s -= a[i] 
        else:
            {{completion}} 
    if(n % 2 or s >= 0):
        print(""YES"")
    else:
        print(""NO"")",s += a[i],s -= a[i]
"import sys

def semi_sortable(arr, n:int) -> bool:
    if n % 2 != 0:
        return True
    sign = 1
    s = 0
    for num in arr:
        s += sign * num
        sign = -sign
    if s > 0:
        return False
    else:
        return True


i = -1
for line in sys.stdin:
    nums = [int(x) for x in line.strip().split()]
    if i == -1:
        i += 1
    else:
        if i % 2 == 0:
            n = nums[0]
        else:
            if semi_sortable(nums, n):
                print(""Yes"")
            else:
                {{completion}}
        i += 1
","print(""No"")","if semi_sortable(nums, n):
    print(""Yes"")
else:
    print(""No"")"
"import sys
input = sys.stdin.readline

def solve():
    n = int(input())
    A = list(map(int, input().split()))

    for i in range(0, n, 2):
        if i == n - 1:
            {{completion}}
        if i == n - 2:
            return ""YES"" if A[i] <= A[i + 1] else ""NO""
        A[i + 2] -= A[i + 1] - A[i]
    
    return 
    
T = int(input())
out = [solve() for _ in range(T)]
print(""\n"".join(map(str, out)))","return ""YES""",A[i + 2] -= A[i + 1] - A[i]
"from sys import stdin
input = lambda: stdin.readline().rstrip('\r\n')


N = int(1e6)+1
f = [0]*N

for _ in range(int(input())):
    n = int(input())
    a = sorted(map(int, input().split()))
    ans = 0

    for x in a: f[x] += 1

    for i, x in enumerate(a):
        if i and a[i-1] == x: continue 
        ans += f[x] * (f[x]-1) * (f[x]-2)
        for k in range(2, N):
            if x*k*k >= N: {{completion}}
            ans += f[x] * f[x*k] * f[x*k*k]

    print(ans)
    for x in a: f[x] = 0",break,break
"# https://codeforces.com/contest/1822

import sys

input = lambda: sys.stdin.readline().rstrip()  # faster!

N = 10 ** 6 + 2
case = [-1] * N
cnt = [0] * N


def solve_case(t):
    global case, cnt

    _ = int(input())
    a = list(map(int, input().split()))  # 1 <= a[i] <= 10**6

    mx = max(a)
    v = []
    for x in a:
        if case[x] != t:
            case[x] = t
            cnt[x] = 1
            v += [x]
        else:
            cnt[x] += 1

    ans = 0
    for x in v:
        if cnt[x] >= 3:
            ans += cnt[x] * (cnt[x] - 1) * (cnt[x] - 2)
        b = 2
        while x * b * b <= mx:
            if case[x * b] == case[x * b * b] == t:
                {{completion}}
            b += 1

    print(ans)


for t in range(int(input())):
    solve_case(t)
",ans += cnt[x] * cnt[x * b] * cnt[x * b * b],break
"from sys import stdin
input = lambda: stdin.readline().rstrip('\r\n')
from array import array

N = int(1e6)+1
f = array('i', [0]*N)

for _ in range(int(input())):
    n = int(input())
    a = sorted(map(int, input().split()))
    ans = 0

    for x in a: f[x] += 1

    for i, x in enumerate(a):
        if i and a[i-1] == x: continue 
        ans += f[x] * (f[x]-1) * (f[x]-2)
        for k in range(2, N):
            if x*k*k >= N: {{completion}}
            ans += f[x] * f[x*k] * f[x*k*k]

    print(ans)
    for x in a: f[x] = 0",break,break
"import sys

# 1到1000的质数表
prime = [True] * 1001
prime[0] = prime[1] = False
ps = []
for i in range(2, 1001):
    if prime[i]:
        ps.append(i)
        for j in range(i * i, 1001, i):
            prime[j] = False

def doubleDiv(x):
    div = []
    for p in ps:
        if p * p > x:
            break
        c = 0
        while x % p == 0:
            c += 1
            x //= p
        if c > 1:
            div.append((p,c//2))
    if x > 1:
        sq = int(x ** 0.5)
        if sq * sq == x:
            div.append((sq, 1))
    ans = [1]
    for p,c in div:
        temp = [p ** i for i in range(1, c + 1)]
        ans += [a * b for a in ans for b in temp]
    # print(ans)
    return ans

t = int(sys.stdin.readline())
for _ in range(t):
    n = int(sys.stdin.readline())
    a = list(map(int, sys.stdin.readline().split()))
    from collections import Counter
    c = Counter(sorted(a))
    ans = 0
    for x in c.values():
        ans += x*(x - 1)*(x - 2)
    for x,v in c.items():
        for k in doubleDiv(x):
            if k != 1:
                {{completion}}
    print(ans)
",ans += v * c[x//k] * c[x//k//k],break
"import sys
input = sys.stdin.readline

def solve():
    {{completion}}

T = int(input())
out = [solve() for _ in range(T)]
print(""\n"".join(map(str, out)))","n = int(input())
    return 26 + (n - 4) * (n + 6)","n = int(input())
        solution(n)"
"import sys


def solution(n):
    res = 1 + n*4 + (n-1) + (2+(n-2)*2)*(n-2)//2
    sys.stdout.write(str(res)+""\n"")


def main():
    tests_n = int(sys.stdin.readline().strip())
    for t in range(tests_n):
        {{completion}}


if __name__ == ""__main__"":
    main()
","n = int(sys.stdin.readline().strip())
        solution(n)","n = int(input())
    return 26 + (n - 4) * (n + 6)"
"import sys

test_cases = int(sys.stdin.buffer.readline())
answers = [0] * test_cases

for answer in range(test_cases):
    {{completion}}

sys.stdout.write('\n'.join(map(str, answers)))","n = int(sys.stdin.buffer.readline())
    answers[answer] = n * 4 + n + (n - 1) * (n - 2)","n = int(input())
    return 26 + (n - 4) * (n + 6)"
"import sys
ci = sys.stdin.readline

for _ in range(int(ci())):
    n, k, x = list(map(int, ci().split()))
    a = sorted(map(int, ci().split()))
    total = sum(a)
    for i in range(min(x, n)):
        total -= a[n-1-i] * 2
    res = total
    for i in range(min(k, n)):
        total += a[n-1-i]
        if n - x - i - 1 >= 0:
            {{completion}}
        res = max(res, total)
    print(res)",total -= a[n-x-i-1] * 2,"total += a[n-1-i] * 2
res = max(res, total)"
"import sys

def solve():
    n,k,x = map(int, sys.stdin.readline().split())
    ls = list(map(int, sys.stdin.readline().split()))
    ls.sort(reverse=True)
    ls.append(0)

    res,idx = 0,x
    tmp = 0
    for i in range(k):
        if idx < n:
            tmp += ls[i]-2*ls[idx]
            res = max(tmp,res)
            idx += 1
        else:
            {{completion}}
    for i in range(x):
        ls[i] = -ls[i]
    print(sum(ls)+res)

for i in range(int(input())):
    solve()","tmp += ls[i]
            res = max(tmp,res)",tmp += ls[i]-2*ls[idx]
"import sys
t = int(sys.stdin.readline().strip())
for _ in range(t) : 
    n, k, x = map(int, sys.stdin.readline().strip().split())
    node = [*map(int, sys.stdin.readline().strip().split())]
    node.sort()
    node = [0] + node
    pres = [0 for i in range(n + 1)]
    for i in range(1, n + 1) : 
        {{completion}}
    ans = -(pres[n] - pres[n - x]) + pres[n - x]
    for i in range(n - 1, n - k - 1, -1) : 
        ans = max(ans, -(pres[i] - pres[max(0, i - x)]) + pres[max(i - x, 0)])
    print(ans)
    ",pres[i] = pres[i - 1] + node[i],pres[i] += node[i]
"for c,*s in[*open(0)][1:]:
    {{completion}}",print(10**s.count('?')*(8*(c>'9')+(c>'0'))),print(10**s.count('?')*(8*(c>'9')+(c>'0')))
"for x,*s in[*open(0)][1:]:{{completion}}",print(10**s.count('?')*(8*(x>'9')+(x>'0'))),print(10**s.count('?')*(8*(x>'9')+(x>'0')))
"for y,*p in[*open(0)][1:]:{{completion}}",print(10**p.count('?')*(8*(y>'9')+(y>'0'))),print(10**p.count('?')*(8*(y>'9')+(y>'0')))
"for s in[*open(0)][1:]:{{completion}}
			 	      			  								 	    	","print((max(map(len,(s[:-1]+s[:-2]).split('0')))+1)**2//4)","print((max(map(len,(s[:-1]+s[:-2]).split('0')))+1)**2//4)"
"#start for loop and print for output
for srt in[*open(0)][1:]:{{completion}}","print((max(map(len,(srt[:-1]+srt[:-2]).split('0')))+1)**2//4)","print((max(map(len,(s[:-1]+s[:-2]).split('0')))+1)**2//4)"
for p in[*open(0)][1:]:{{completion}},"print((max(map(len,(p[:-1]+p[:-2]).split('0')))+1)**2//4)","print((max(map(len,(p[:-1]+p[:-2]).split('0')))+1)**2//4)"
"for _ in range(int(input())):
    n, m = map(int, input().split())
    a = list(map(int, input().split()))
    b = list(map(int, input().split()))
    a.sort()
    b.sort()
    ans = 0
    for i in range(n):
        {{completion}}
    print(ans)","ans += max(a[i]-b[n-1-i], b[m-1-i]-a[i])",ans += abs(a[i] - b[i])
"a = int(input())
for _ in range(a):
    n ,m = tuple(map(int,input().split(' ')))
    a = list(map(int,input().split(' ')))
    b = list(map(int,input().split(' ')))
    a.sort()
    b.sort(reverse= True)
    i1 = 0
    i2 = n-1
    o1 = 0
    o2 = m-1
    ans = 0
    while i1 <= i2:
        mi = abs(a[i1]-b[o1])
        ma = abs(a[i2]-b[o2])
        if mi >= ma:
            ans += mi
            o1 +=1
            i1 +=1
        else:
            {{completion}}
    print(ans)


","ans += ma
            o2 -= 1
            i2 -= 1","ans += max(a[i]-b[n-1-i], b[m-1-i]-a[i])"
"t = int(input())
for _ in range(t):
    _ = input()
    a = [int(x) for x in input().split("" "")]
    b = [int(x) for x in input().split("" "")]
    a.sort()
    b.sort(reverse=True)
    left = 0
    right = -1
    total_diff = 0
    for _ in a:
        l_diff = abs(b[left]-a[left])
        r_diff = abs(a[right]-b[right])
        if l_diff > r_diff:
            total_diff += l_diff
            left += 1
        else:
            {{completion}}
    print (total_diff)
","total_diff += r_diff
            right -= 1",total_diff += abs(a[right]-b[right])
"# https://codeforces.com/contest/1821

import sys

input = lambda: sys.stdin.readline().rstrip()  # faster!


def solve_case():
    n = int(input())
    a = list(map(int, input().split()))
    b = list(map(int, input().split()))

    # a != b, i.e. we are guaranteed to find a position i with a[i] != b[i]
    first = 0
    while a[first] == b[first]:
        {{completion}}
    while first - 1 >= 0 and b[first] >= b[first - 1]:
        first -= 1

    last = n - 1
    while a[last] == b[last]:
        last -= 1
    while last + 1 < n and b[last] <= b[last + 1]:
        last += 1

    print(first + 1, last + 1)


for _ in range(int(input())):
    solve_case()
",first += 1,break
"import sys


def solve(a, a_dash, n):
    l, r = 0, n - 1

    # convergence
    for a_val, a_dash_val in zip(a, a_dash):
        if a_val != a_dash_val:
            {{completion}}
        l += 1
    for a_val, a_dash_val in zip(reversed(a), reversed(a_dash)):
        if a_val != a_dash_val:
            break
        r -= 1

    # divergence
    while l > 0 and a_dash[l - 1] <= a_dash[l]:
        l -= 1

    while r < n - 1 and a_dash[r] <= a_dash[r + 1]:
        r += 1

    return l, r


def main():
    t = int(sys.stdin.readline().strip())
    for _ in range(t):
        n = int(sys.stdin.readline().strip())
        a = [int(x) for x in sys.stdin.readline().split()]
        a_dash = [int(x) for x in sys.stdin.readline().split()]
        l, r = solve(a, a_dash, n)
        print(l + 1, r + 1)


if __name__ == '__main__':
    main()
",break,break
"import sys 
input = sys.stdin.buffer.readline 

def process(A, B):
    n = len(A)
    diff = []
    for i in range(n):
        if A[i] != B[i]:
            diff.append(i)
    l, r = diff[0], diff[-1]
    while l > 0:
        if B[l-1] <= B[l]:
            l-=1
        else:
            {{completion}}
    while r < n-1:
        if B[r] <= B[r+1]:
            r+=1 
        else:
            break
    sys.stdout.write(f'{l+1} {r+1}\n')
    

t = int(input())
for i in range(t):
    n = int(input())
    A = [int(x) for x in input().split()]
    B = [int(x) for x in input().split()]
    process(A, B)",break,first += 1
for s in[*open(0)][1:]:{{completion}},"a=[int(x)or 10for x
in s[:-1]];print(sum(1+abs(x-y)for x,y in zip([1]+a,a)))","a=[int(x)or 10for x
in s[:-1]];print(sum(1+abs(x-y)for x,y in zip([1]+a,a)))"
"for s in[*open(0)][1:]:{{completion}}
","a=[int(x)or 10for x
in s[:-1]];print(sum(1+abs(x-y)for x,y in zip([1]+a,a)))","a=[int(x)or 10for x
in s[:-1]];print(sum(1+abs(x-y)for x,y in zip([1]+a,a)))"
"def mani():
    n, t = map(int, input().split())
    durations = list(map(int, input().split()))
    values = list(map(int, input().split()))
    max_value = 0
    max_index = -1
    for i in range(n):
        if i + durations[i] <= t:
            if values[i] > max_value:
                {{completion}}
    print(max_index)
for _ in range(int(input())):
    mani()","max_value = values[i]
                max_index = i + 1","max_value = values[i]
max_index = i"
"import sys
from collections import defaultdict as dd
from sys import maxsize
import math

input = sys.stdin.readline


def inpt():
    return int(input())


def inpl():
    return list(map(int, input().split()))


def inps():
    s = input()
    return list(s[:len(s) - 1])


def main():
    n, t = inpl()
    dur = inpl()
    val = inpl()
    ans = -1
    max1 = -1
    for i in range(n):
        if dur[i] <= t and val[i] > max1:
            {{completion}}
        t -= 1
    return ans


for _ in range(inpt()):
    print(main())
","max1 = val[i]
            ans = i+1",")
ans = i
("
"def solve():
    n, t = map(int, input().split())
    a = [int(x) for x in input().split()]
    b = [int(x) for x in input().split()]
    bst = -2
    for i in range(n):
        if i + a[i] <= t and (bst == -2 or b[bst] < b[i]):
            {{completion}}
    print(bst + 1)
 
 
t = int(input())
for _ in range(t):
    solve()",bst = i,bst = i
"from sys import stdin
input = stdin.readline
for _ in range(int(input())):
    mi = 1
    mx = 10 ** 9
    t = [ ]
    for __ in range(int(input())):
        a, n = map(int, input().split())
        if a == 1:
            if n > mi:
                mi = n
        elif a == 2:
            if n < mx:
                {{completion}}
        else:
            t.append(n)
    ans = mx - mi + 1
    for x in t:
        if mx >= x >= mi:
            ans -= 1
    print(max(ans, 0)) ",mx = n,mx = n
"import sys
input = sys.stdin.readline

for _ in range (int(input())):
	one=[]
	two=[]
	thr=[]
	for i in range (int(input())):
	    x,y=[int(x) for x in input().split()]
	    if x==1:
	        one.append(y)
	    elif x==2:
	        two.append(y)
	    else:
	        thr.append(y)
# 	print(one,two,thr)
	ans=0
	l=max(one)
	u=min(two)
	if u>=l:
	    ans=u-l+1
	    for n in thr:
	        if n>=l and n<=u:
	            {{completion}}
	print(ans)
    ",ans-=1,"if n>=l and n<=u:
    ans-=1"
"import sys

def solve():
    inp = sys.stdin.readline
    n = int(inp())
    m = None
    M = None
    other = []
    for i in range(n):
        a, x = map(int, inp().split())
        if a == 1:
            if m is None or m < x:
                {{completion}}
        if a == 2:
            if M is None or M > x:
                M = x
        if a == 3:
            other.append(x)
    c = sum(m <= i <= M for i in other)
    if m <= M:
        print(M - m + 1 - c)
    else:
        print(0)

def main():
    for i in range(int(sys.stdin.readline())):
        solve()

if __name__ == '__main__':
    main()
",m = x,m = x
"for _ in range(int(input())):
	{{completion}}
	
	
	
	
	

	
	
	
	
	
	
","n = int(input())
	a = input()
	b = input()
	c = input()
	print ('yes' if any(a[i] != c[i] and b[i] != c[i] for i in range(n)) else 'no')",cnt += 1
"num = int(input())
ns = []
abcs = []
for z in range(num):
    ns.append(int(input()))
    abc = []
    for x in range(3):
        abc.append(input())
    abcs.append(abc)

for abc, n in zip(abcs, ns):
    ans = 'No'
    a, b, c = abc[0], abc[1], abc[2]
    for al, bl, cl in zip(a, b, c):
        if cl == al or cl == bl:
            {{completion}}
        ans = 'Yes'
        break
    print(ans)",continue,"for al, bl, cl in zip(a, b, c):
    if cl == al or cl == bl:
        ans = 'Yes'
        break
print(ans)"
"def solve():
    n = int(input())
    a1= input().strip()
    b1 = input().strip()
    c1= input().strip()

    cnt = 0

    for i in range(n):
        if a1[i] == c1[i] or b1[i] == c1[i]:
            {{completion}}

    if cnt == n:
        print(""NO"")
        return

    print(""YES"")

# Read the number of test cases
t1 = int(input())

# Solve each test case
for _ in range(t1):
    solve()",cnt += 1,"n = int(input())
	a = input()
	b = input()
	c = input()
	print ('yes' if any(a[i] != c[i] and b[i] != c[i] for i in range(n)) else 'no')"
"for s in[*open(0)][1:]:
     {{completion}}
",print((s<'^^')+s[:-1].split('_').count('')),print((s<'^^')+s[:-1].split('_').count(''))
"for _ in range(int(input())):
    s = input()
    if s=='^':
        print(1)
    else:
        {{completion}}
        ",print(s.split('_').count('')),print((s<'^^')+s[:-1].split('_').count(''))
for g in[*open(0)][1:]:{{completion}},print((g<'^^')+g[:-1].split('_').count('')),print((g<'^^')+g[:-1].split('_').count(''))
for s in[*open(0)][1:]:{{completion}},"n,k=map(int,s.split());print('YNEOS'[n&~k&1::2])","n, k = map(int, s.split());print('YNEOS'[n&~k&1::2])"
"for z in[*open(0)][1:]:
    {{completion}}","n, k = map(int, z.split());print('YNEOS'[n&~k&1::2])","n, k = map(int, z.split());print('YNEOS'[n&~k&1::2])"
for KP in[*open(0)][1:]:{{completion}},"f,y=map(int,KP.split());print('YNEOS'[f&~y&1::2])","n,k=map(int,KP.split());print('YNEOS'[n&~k&1::2])"
"import sys
input = sys.stdin.readline


for _ in range(int(input())):
    s = input()[:-1]
    for i in range(26):
        cur = 0
        for x in s.split(chr(97 + i)):
            op, l = 0, len(x)
            while l:
                {{completion}}
            cur = max(cur, op)
        ans = min(ans, cur) if i else cur
    print(ans)","l //= 2
                op += 1",cnt = 0
