eval_prompt,ground_truth,model_output
"import sys
input = lambda : sys.stdin.readline().rstrip()

dx = [-1, 0, 1, 0]
dy = [0, -1, 0, 1]


def solve():
    n = int(input())
    arr = list(map(int, input().split()))
    
    if sum(arr)!=0:
        return 0

    psum = 0
    f = 0
    
    for i in range(len(arr)):
        psum += arr[i]
        if psum < 0:
            return 0
        if psum==0:
            f = 1
        elif {{completion}}:
            return 0
        
    return 1


for __ in range(int(input())):
    print('Yes' if solve() else 'No')",f,psum==0
"for _ in range(int(input())):
    n = int(input())
    a = list(map(int,input().split()))
    tot = a[0]

    for i in range(1, n):
        if tot < 0:
            break
        elif tot == 0:
            if {{completion}}:
                break
        else:
            tot += a[i]
    else:
        if tot == 0:
            print(""Yes"")
            continue

    print(""No"")
",a[i] != 0,tot < 0
"from sys import stdin

t = int(stdin.readline())
for h in range(t):
    n = int(stdin.readline())
    a = list(map(int,stdin.readline().split(' ')))
    b = 0
    v = True
    for i in range(n):
        b += a[i]
        if b<0:
            v = False
            break
        elif b==0:
            for j in range(i+1,n):
                if {{completion}}:
                    v = False
                    break
            break
    if v and sum(a) == 0:
        print('YES')
    else:
        print('NO')",a[j] != 0,b<0
"for _ in [0]*int(input()):
    input()
    n = list(map(int,input().split()))
    s,f,m = 0,0,0
    for i in n:
        s+=i
        if {{completion}}:m = 1;break
        if s==0:f=1
        if f and s>0:m=1;break
    print(""YNEOS""[(m or not f)::2])",s<0,s==0
"for _ in [0]*int(input()):
    input()
    n = list(map(int,input().split()))
    s,f,m = 0,0,0
    for i in n:
        s+=i
        if s<0:m = 1;break
        if {{completion}}:f=1
        if f and s>0:m=1;break
    print(""YNEOS""[(m or not f)::2])",s==0,s==0
"if __name__ == '__main__':
    t = int(input())

    for _ in range(t):
        n = int(input())
        a = [int(i) for i in input().split()]

        x = a[0]

        ok = True
        for v in a[1:]:
            if {{completion}}:
                ok = False
                break
            if x == 0 and v != 0:
                ok = False
                break
            x += v

        print(""yes"" if ok and x == 0 else ""no"")
",x < 0,x == 0 and v != 0
"if __name__ == '__main__':
    t = int(input())

    for _ in range(t):
        n = int(input())
        a = [int(i) for i in input().split()]

        x = a[0]

        ok = True
        for v in a[1:]:
            if x < 0:
                ok = False
                break
            if {{completion}}:
                ok = False
                break
            x += v

        print(""yes"" if ok and x == 0 else ""no"")
",x == 0 and v != 0,x < 0
"input = __import__('sys').stdin.readline


def solve():
    n = int(input())
    allzeros = False
    total = 0
    for x in map(int, input().split()):
        total += x
        if {{completion}}:
            print('No')
            return
        allzeros = allzeros or total == 0

    print('YES' if total == 0 else 'NO')


for _ in range(int(input())):
    solve()",total < 0 or total != 0 and allzeros,total == 0
"import sys
input=sys.stdin.readline
I = lambda : list(map(int,input().split()))

t,=I()
for _ in range(t):
	n, = I()
	l = I()
	pos = 0
	if sum(l)!=0 or l[-1]>0:
		pos=1
	else:
		pref = l[0]
		seen = 0
		if pref<0:
			pos=1
		if pref==0:
			seen = 1
		for i in range(1,n):
			pref+=l[i]
			if pref<0:
				pos=1
				break
			elif pref==0:
				seen = 1
			else:
				if {{completion}}:
					pos=1
					break
	print(""YNeos""[pos::2])",seen,pref<0
"for t in range(int(input())):
    
    n=int(input())
    a=list(map(int,input().split()))
    i=n-1
    while(a[i]==0 and i!=0):
        i-=1 
    while(i>0):
        if a[i]>=0:
            print(""NO"")
            break
        a[i-1]+=a[i]
        i-=1
    else:
        if {{completion}}:
            print(""YES"")
        else:
            print(""NO"")
",a[i]==0,a[i]==0
"for i in range(int(input())):
    n=int(input())
    c=[int(j) for j in input().split()]
    k=1
    if [0]*n==c:
        print('Yes')
    else:
        g=0
        while c[-1]==0:
            c.pop()
        while len(c)-1:
            if {{completion}}:
                k=0
                break
            g=g-c.pop()
        print(['No','Yes'][g==c[0] and k])",g<=c[-1],c[-1]==0
"input = __import__('sys').stdin.readline


n = int(input())
a = list(map(int, input().split())) + [n+1]


ans = 0
cache = {}
for i in range(n):
    u = 0
    d = n+1
    
    keys = []
    j = i
    while j+1 <= n:
        key = (j, u, d)
        v = cache.get(key, -1)
        if v != -1:
            j = v
            break
        
        keys.append(key)
        # greedy
        if u < a[j] < d: # if can insert to both
            if a[j] < a[j+1]:
                u = max(u, a[j])
            elif {{completion}}:
                d = min(d, a[j])
        elif u < a[j]: # if only can insert to increasing subsequence
            u = a[j]
        elif d > a[j]: # if only can insert to decreasing subsequence
            d = a[j]
        else:
            break

        j += 1
    
    for key in keys:
        cache[key] = j

    ans += j - i
    # print(f'at {i} max {j} ans {ans}', u, d)

# print(f'count={len(cache)}')
print(ans)
",a[j] > a[j+1],a[j] > a[j+1]
"input = __import__('sys').stdin.readline


n = int(input())
a = list(map(int, input().split())) + [n+1]

cache = {}
def check(i, u, d):
    keys = []
    j = i
    while j+1 <= n:
        key = (j, u, d)
        v = cache.get(key, -1)
        if v != -1:
            j = v
            break
        
        keys.append(key)
        if u < a[j] < d: # if can insert to both
            if a[j] < a[j+1]:
                u = max(u, a[j])
            elif {{completion}}:
                d = min(d, a[j])
        elif u < a[j]: # if only can insert to increasing subsequence
            u = a[j]
        elif d > a[j]: # if only can insert to decreasing subsequence
            d = a[j]
        else:
            break

        j += 1
    
    for key in keys:
        cache[key] = j
    
    return j

ans = 0
for i in range(n):
    u = 0
    d = n+1
    j = check(i, u, d)
    ans += j - i
    # print(f'at {i} max {j} ans {ans}', u, d)

# print(f'count={count}')
print(ans)
",a[j] > a[j+1],a[j] > a[j+1]
"#from niumeng

from itertools import accumulate
I=input;R=lambda:map(int,I().split())
n,q=R();a=sorted(R())[::-1];p=[0]+list(accumulate(a))
for {{completion}}:
  x,y=R();print(p[x]-p[x-y])
",_ in range(q),"_ in "" ""*q"
"n, q = [int(x) for x in input().split()]
prices = [int(price) for price in input().split("" "")]
prices.sort(reverse=True)
for {{completion}}:
    prices[i] += prices[i-1]
 
while q:
    # 5 5 3 2 1
    # 5 10 13 15 16
    x, y = [int(x) for x in input().split()]
    l = 0 if x == y else prices[x - y - 1]
    print(prices[x-1] - l)
    q -= 1","i in range(1, len(prices))",q
"n, q = [int(x) for x in input().split()]
prices = [int(price) for price in input().split("" "")]
prices.sort(reverse=True)
for i in range(1, len(prices)):
    prices[i] += prices[i-1]
 
while {{completion}}:
    # 5 5 3 2 1
    # 5 10 13 15 16
    x, y = [int(x) for x in input().split()]
    l = 0 if x == y else prices[x - y - 1]
    print(prices[x-1] - l)
    q -= 1",q,q > 0
"n,q=map(int,input().split())
a=[0]
for {{completion}}:a+=a[-1]+x,
for _ in[0]*q:x,y=map(int,input().split());print(a[x]-a[x-y])
","x in sorted(map(int,input().split()))[::-1]",_ in[0]*q
"n,q=map(int,input().split())
a=[0]
for x in sorted(map(int,input().split()))[::-1]:a+=a[-1]+x,
for {{completion}}:x,y=map(int,input().split());print(a[x]-a[x-y])
",_ in[0]*q,"x in sorted(map(int,input().split()))[::-1]"
"f=open(0)
R=lambda:map(int,next(f).split())
n,q=R();p=[0]
for {{completion}}: p+=p[-1]+w,
for _ in "" ""*q: x, y=R();print(p[n-x+y]-p[n-x])
",w in sorted(R()),"_ in "" ""*q"
"f=open(0)
R=lambda:map(int,next(f).split())
n,q=R();p=[0]
for w in sorted(R()): p+=p[-1]+w,
for {{completion}}: x, y=R();print(p[n-x+y]-p[n-x])
","_ in "" ""*q",w in sorted(R())
"from sys import stdin
# t = int(stdin.readline().rstrip())
# while t>0:
    
#     t-=1
n,q = map(int,stdin.readline().split())
l = list(map(int,stdin.readline().split()))
l.sort()
for i in range(1,n):
    l[i] += l[i-1]
# print(l)
for i in range(q):
    x,y = map(int,stdin.readline().split())
    actual = n-x+y-1
    val = l[actual]
    if {{completion}}:
        val -= l[n-x-1]
    print(val)
    ",n-x > 0,"x in sorted(map(int,input().split()))[::-1]"
"Y=lambda:map(int,input().split())
O=[];n,q=Y();p=sorted(Y())[::-1];s=[0]
for {{completion}}:s+=[s[-1]+i]
for _ in[0]*q:x,y=Y();O+=[str(s[x]-s[x-y])]
print('\n'.join(O))",i in p,_ in[0]*q
"Y=lambda:map(int,input().split())
O=[];n,q=Y();p=sorted(Y())[::-1];s=[0]
for i in p:s+=[s[-1]+i]
for {{completion}}:x,y=Y();O+=[str(s[x]-s[x-y])]
print('\n'.join(O))",_ in[0]*q,_ in[0]*q
"arr=[int(i) for i in input().split()]
ans=[]
prices=[int(i) for i in input().split()]
prices.sort(reverse=True)
for i in range(1,arr[0]):
    prices[i]=prices[i]+prices[i-1]
    
for i in range(arr[1]):
    xy=[int(i) for i in input().split()]
    if{{completion}}:
        ans.append(prices[xy[0]-1])
    else:
        ans.append(prices[xy[0]-1]-prices[xy[0]-xy[1]-1])
for ele in ans:
    print(ele)",(xy[0]==xy[1]),q
"import sys

n, p = map(int, sys.stdin.readline().split())
l = map(int, sys.stdin.readline().split())
l = sorted(l, reverse=True)

for i in range(n-1, 0, -1):
    l[i-1] += l[i]

for _ in range(p):
    xi, yi = map(int, sys.stdin.readline().split())
    a = n-xi
    b = a+yi

    if {{completion}}:
        print(l[-b])
    else:
        print(l[-b]-l[-a])
",a == 0,_ in[0]*q
"## cf does not have numpy so with lists
r=open(0)
g=lambda:map(int,next(r).split())
n,q=g()
a=[0]
for {{completion}}:a+=a[-1]+x,
for b in[0]*q:x,y=g();print(a[x]-a[x-y])


",x in sorted(g())[::-1],b in[0]*q
"## cf does not have numpy so with lists
r=open(0)
g=lambda:map(int,next(r).split())
n,q=g()
a=[0]
for x in sorted(g())[::-1]:a+=a[-1]+x,
for {{completion}}:x,y=g();print(a[x]-a[x-y])


",b in[0]*q,x in sorted(g())[::-1]
"(n, q) = map(int, input().split())
arr = list(map(int, input().split()))
arr.sort(reverse=True)
for i in range (1,n):
   arr[i] = arr[i] + arr[i-1]
for trial in range(q):
    (x, y) = map(int, input().split())
    if {{completion}}:
        print (arr[x-1])
    else:
        print (arr[x-1] - arr[x-y-1])",(x==y),"x in sorted(map(int,input().split()))[::-1]"
"for {{completion}}:
    r = int(input())
    print('Division', 4 - sum(r >= p for p in (1400, 1600, 1900)))
",_ in range(int(input())),1600 <= b <= 1899
"for {{completion}}:r=int(n)/100;print('Division',1+(r<19)+(r<16)+(r<14))",n in[*open(0)][1:],_ in range(int(input()))
"from bisect import bisect
b = [-5001, 1400, 1600, 1900]
for {{completion}}: print(f'Division {-bisect(b, int(input()))+5}')",i in range(int(input())),_ in range(int(input()))
"n=int(input())
while n:
    num=int(input())
    if num>=1900:print(""Division 1"")
    elif {{completion}}:print(""Division 2"")
    elif num>=1400:print(""Division 3"")
    else:print(""Division 4"")
    n-=1",num>=1600,num>=1600
"n=int(input())
while n:
    num=int(input())
    if num>=1900:print(""Division 1"")
    elif num>=1600:print(""Division 2"")
    elif {{completion}}:print(""Division 3"")
    else:print(""Division 4"")
    n-=1",num>=1400,num>=1400
"def div(n):
    return 1 if n >= 1900 else 2 if n >= 1600 else 3 if n >= 1400 else 4

for {{completion}}:
    print(f'Division {div(int(input()))}')
",_ in range(int(input())),_ in range(int(input()))
"x = input()
for i in range(int(x)):
    z = input()
    if int(z) >= 1900:
        print('Division 1')
    elif {{completion}}:
        print('Division 2')
    elif int(z) >= 1400:
        print('Division 3')
    else:
        print('Division 4')
",int(z) >= 1600,int(z) >= 1600 and int(z) <1900
"x = input()
for i in range(int(x)):
    z = input()
    if int(z) >= 1900:
        print('Division 1')
    elif int(z) >= 1600:
        print('Division 2')
    elif {{completion}}:
        print('Division 3')
    else:
        print('Division 4')
",int(z) >= 1400,int(z) >= 1600 and int(z) <1900
"k = 0
a = int(input())
for x in range(1, a+1):
    b = int(input())
    if 1900<= b:
        d = 1
    elif {{completion}}:
        d = 2
    elif 1400 <= b <= 1599:
        d = 3
    elif b <= 1399:
        d = 4
    print('Division', d)",1600 <= b <= 1899,1600 <= b <= 1899
"k = 0
a = int(input())
for x in range(1, a+1):
    b = int(input())
    if 1900<= b:
        d = 1
    elif 1600 <= b <= 1899:
        d = 2
    elif {{completion}}:
        d = 3
    elif b <= 1399:
        d = 4
    print('Division', d)",1400 <= b <= 1599,1400 <= b <= 1599
"t = int(input())
while t > 0:
	n = int(input())
	if n >= 1900:
		print(""Division"",1)
	elif {{completion}}:
		print(""Division"", 2)
	elif n >= 1400 and n < 1600:
		print(""Division"", 3)
	else:
		print(""Division"",4)
	t -= 1
",n >= 1600 and n <1900,n >= 1400
"t = int(input())
while t > 0:
	n = int(input())
	if n >= 1900:
		print(""Division"",1)
	elif n >= 1600 and n <1900:
		print(""Division"", 2)
	elif {{completion}}:
		print(""Division"", 3)
	else:
		print(""Division"",4)
	t -= 1
",n >= 1400 and n < 1600,n >= 1400
"x=int(input(""""))
for i in range (x):
    c=int(input(""""))
    if c<=1399:
        print("" Division 4"")
    elif {{completion}}:
        print("" Division 3"")
    elif 1600<=c<=1899:
       print("" Division 2"") 
    else :
       print("" Division 1"")",1400<=c<=1599,c<=1399
"x=int(input(""""))
for i in range (x):
    c=int(input(""""))
    if c<=1399:
        print("" Division 4"")
    elif 1400<=c<=1599:
        print("" Division 3"")
    elif {{completion}}:
       print("" Division 2"") 
    else :
       print("" Division 1"")",1600<=c<=1899,c<=1599
"'''
How pros write B)
'''

for {{completion}}:
    x = int(input())
    print(""Division 4"" if x < 1400 else ""Division 3"" if x < 1600 else ""Division 2"" if x < 1900 else ""Division 1"")",i in range(int(input())),x < 1400
"from collections import deque
for _ in range(int(input())):
    n = int(input())
    l = deque(map(int, input().split()))
    a, b = 0, 0
    ans = 0
    cur = 0
    while l:
        cur+=1
        if {{completion}}:
            b += l.pop()
        else:
            a += l.popleft()
        if a==b:
            ans = cur
    print(ans)
",a>=b,a==b
"from collections import deque
for _ in range(int(input())):
    n = int(input())
    l = deque(map(int, input().split()))
    a, b = 0, 0
    ans = 0
    cur = 0
    while l:
        cur+=1
        if a>=b:
            b += l.pop()
        else:
            a += l.popleft()
        if {{completion}}:
            ans = cur
    print(ans)
",a==b,a==b
"for n in[*open(0)][2::2]:
    n=[*map(int,n.split())]
    a,b,l,f=[0]*4;r=len(n)-1
    while l<=r:
        if a<=b:
            a+=n[l]
            l+=1
        elif {{completion}}:
            b+=n[r]
            r-=1
        if a==b:
            f=len(n)-r+l-1
    print(f)",b<a,a>=b
"from bisect import *
from itertools import *

t = int(input())
for _ in range(t):
	n = int(input())
	w = list(map(int, input().split()))
	aw = list(accumulate(w))
	bw = list(accumulate(w[::-1]))
	mx = 0
	for i, a in enumerate(aw):
		c = bisect_left(bw, a, hi=len(bw)-i-2)
		if {{completion}}:
			mx = max(mx, (i+1)+(c+1))
	print(mx)
",a==bw[c] and i<(len(bw)-c-1),b<a
"def solve():
 n=int(input())
 a=[*map(int,input().split())]
 b=a[:]
 for i in range(n-1):a[i+1]+=a[i]
 for i in range(n-1,0,-1):b[i-1]+=b[i]
 l,r=0,n-1
 sol=0
 while r-l>=1:
  if {{completion}}:sol=l+n-r+1;l+=1
  if a[l]<b[r]:l+=1
  else:r-=1
 return sol
for _ in [0]*int(input()):print(solve())",a[l]==b[r],a[l]<b[r]
"def solve():
 n=int(input())
 a=[*map(int,input().split())]
 b=a[:]
 for i in range(n-1):a[i+1]+=a[i]
 for i in range(n-1,0,-1):b[i-1]+=b[i]
 l,r=0,n-1
 sol=0
 while r-l>=1:
  if a[l]==b[r]:sol=l+n-r+1;l+=1
  if {{completion}}:l+=1
  else:r-=1
 return sol
for _ in [0]*int(input()):print(solve())",a[l]<b[r],a[l]<b[r]
"I=lambda:[int(i) for i in input().split()]
for _ in range(I()[0]):
    n=I()[0]
    l=I()
    l2=[]
    s1,s2=0,0
    p1,p2=0,n-1
    while (p1-1<=p2):
        if {{completion}}: l2.append(p1 + n-1-p2); s1+=l[p1]; p1+=1
        if s1 < s2: s1+=l[p1]; p1+=1
        if s2 < s1: s2+=l[p2]; p2-=1
    print(l2[-1])

    ",s1 == s2,s1 < s2
"I=lambda:[int(i) for i in input().split()]
for _ in range(I()[0]):
    n=I()[0]
    l=I()
    l2=[]
    s1,s2=0,0
    p1,p2=0,n-1
    while (p1-1<=p2):
        if s1 == s2: l2.append(p1 + n-1-p2); s1+=l[p1]; p1+=1
        if {{completion}}: s1+=l[p1]; p1+=1
        if s2 < s1: s2+=l[p2]; p2-=1
    print(l2[-1])

    ",s1 < s2,s1 < s2
"import math as m

i = input()
inp = []
for a in range(0,int(i)):
    inp += [[input(), input()]]

def maxx(arr):
    if arr == []:
        return 0
    else:
        return max(arr)

for s in inp:
    n = int(s[0])
    arr = [int(x) for x in s[1].split()]
    
    i = 0
    j = n-1
    lsum = arr[i]
    rsum = arr[j]

    best = 0
    while i < j:
        if lsum < rsum:
            i += 1
            lsum += arr[i]
        elif {{completion}}:
            j -= 1
            rsum += arr[j]
        else:
            best = i + (n-1-j) + 2
            i += 1
            lsum += arr[i]
    print(best)
    
    
",rsum < lsum,lsum<rsum
"for t in range(int(input())):
    n=int(input())
    l1=list(map(int,input().split()))
    l=0
    h=n-1
    ans=0
    a=0
    b=0
    while(l<=h):
        if{{completion}}:
            b=b+l1[h]
            h=h-1
        else:
            a=a+l1[l]
            l=l+1
        if(a==b):
            ans=l+n-h-1
    print(ans)",(a>b),(a==b)
"for t in range(int(input())):
    n=int(input())
    l1=list(map(int,input().split()))
    l=0
    h=n-1
    ans=0
    a=0
    b=0
    while(l<=h):
        if(a>b):
            b=b+l1[h]
            h=h-1
        else:
            a=a+l1[l]
            l=l+1
        if{{completion}}:
            ans=l+n-h-1
    print(ans)",(a==b),(a==b)
"for _ in range(int(input())):
    n = int(input())
    a = [*map(int, input().split())]
    x = sum(a) // 2
    s, d = 0, {}
    for idx, i in enumerate(a):
        s += i
        if {{completion}}: break
        d[s] = idx + 1
    s, r = 0, 0
    for idx, i in enumerate(a[::-1]):
        s += i
        if s in d: r = idx + 1 + d[s]
    print(r)",s > x,s in d
"for _ in range(int(input())):
    n = int(input())
    a = [*map(int, input().split())]
    x = sum(a) // 2
    s, d = 0, {}
    for idx, i in enumerate(a):
        s += i
        if s > x: break
        d[s] = idx + 1
    s, r = 0, 0
    for idx, i in enumerate(a[::-1]):
        s += i
        if {{completion}}: r = idx + 1 + d[s]
    print(r)",s in d,s > x
"n = int(input())
for i in range(n):
    h = 1
    g = 1
    counter = 0
    m = int(input())
    lst = list(map(int, input().split()))
    index =0
    e= 0
    r =m-1
    highest = lst[m-1]
    lowest = lst[0]
    while h+g <= m:
        if lowest<highest:
            lowest+=lst[e+1]
            e+=1
            g +=1
        elif {{completion}}:
            highest+=lst[r-1]
            r-=1
            h+=1
        elif highest == lowest:
            lowest+=lst[e+1]
            e+=1
            g+=1
            index = e + (m - r)
    print(index)
",highest<lowest,highest == lowest
"n = int(input())
for i in range(n):
    h = 1
    g = 1
    counter = 0
    m = int(input())
    lst = list(map(int, input().split()))
    index =0
    e= 0
    r =m-1
    highest = lst[m-1]
    lowest = lst[0]
    while h+g <= m:
        if lowest<highest:
            lowest+=lst[e+1]
            e+=1
            g +=1
        elif highest<lowest:
            highest+=lst[r-1]
            r-=1
            h+=1
        elif {{completion}}:
            lowest+=lst[e+1]
            e+=1
            g+=1
            index = e + (m - r)
    print(index)
",highest == lowest,highest == lowest
"def read():
    return int(input())

def readline():
    return list(map(int,input().split()))

def solve():
    n=read()
    arr=readline()
    ans,cur=0,0
    a,suma=-1,0
    b,sumb=n,0
    while True:
        if a>=b: break
        elif {{completion}}:
            b-=1
            sumb+=arr[b]
            cur+=1
        elif suma<sumb:
            a+=1
            suma+=arr[a]
            cur+=1
        else :
            ans=cur
            a+=1
            b-=1
            suma+=arr[a]
            sumb+=arr[b]
            cur+=2
    print(ans)


if __name__ == ""__main__"":
    T=read()
    for i in range(T):
        solve()",suma>sumb,suma<sumb
"def read():
    return int(input())

def readline():
    return list(map(int,input().split()))

def solve():
    n=read()
    arr=readline()
    ans,cur=0,0
    a,suma=-1,0
    b,sumb=n,0
    while True:
        if a>=b: break
        elif suma>sumb:
            b-=1
            sumb+=arr[b]
            cur+=1
        elif {{completion}}:
            a+=1
            suma+=arr[a]
            cur+=1
        else :
            ans=cur
            a+=1
            b-=1
            suma+=arr[a]
            sumb+=arr[b]
            cur+=2
    print(ans)


if __name__ == ""__main__"":
    T=read()
    for i in range(T):
        solve()",suma<sumb,suma<sumb
"for _ in range(int(input())):
    n, _ = map(int, input().split())
    a = map("""".join, zip(*(input() for _ in range(n))))
    a = (""o"".join("""".join(sorted(y, reverse=True)) for y in x.split(""o"")) for x in a)
    for {{completion}}:
        print("""".join(x))
 			  	 	    				   	  	 	    	",x in zip(*a),j in range(m)
"# Write your code here :-)
# Fall Down
def solution():
    n, m = [int(i) for i in input().split()]
    grid = [list(input()) for _ in range(n)]
    for i in range(m):
        for j in range(n - 1, -1, -1):
            if grid[j][i] == ""*"":
                grid[j][i] = "".""
                pos = j
                while {{completion}}:
                    pos += 1
                grid[pos][i] = ""*""
    for row in grid:
        print(*row, sep="""")


t = int(input())
for _ in range(t):
    solution()
","pos < n - 1 and grid[pos + 1][i] == "".""","grid[pos][i] == ""o"" or grid[pos][i] == ""*"""
"def res(s):
 a=s.split('o');t=''
 for i in a:t+=i.count('*')*'*'+i.count('.')*'.'+'o'
 return t[:-1]

for _ in[0]*int(input()):
 n,m=map(int,input().split())
 a=[[*input()] for x in[0]*n]
 b=[]
 for i in range(m):b+=res(''.join([a[~j][i] for j in range(n)])),
 for i in range(n):
  for {{completion}}:print(b[j][~i],end='')
  print()
 print()",j in range(m),i in range(n)
"c=input()
for _ in range(int(c)):
    b=input().split()
    a=[]
    for i in range(int(b[0])):
        a.append(list(input()))
    for i in range(int(b[1])):
        count=0
        row=int(b[0])-1
        for j in range(int(b[0])):
            if a[row][i]=='.':
                count+=1
            elif {{completion}}:
                count=0
            else:
                a[row][i],a[row+count][i]='.',a[row][i]
            row-=1
    for i in range(int(b[0])):
        print("""".join(a[i]))


",a[row][i]=='o',a[row][i]=='.'
"import sys
input = sys.stdin.readline
for _ in [0]*int(input()):
    n,m=map(int,input().split())
    s=['']*m
    for _ in [0]*n:
        s=[s[i]+j for i,j in zip(range(m),input())]
    col=['']*n
    k=0
    for i in s:
        bl=0
        x=''
        for j in i[::-1]:
            if j=='o':
                x=j+'.'*bl+x
                bl=0
            elif {{completion}}:
                x=j+x
            else:
                bl=bl+1
        x='.'*bl+x
        col=[col[ind]+val for val,ind in zip(x,range(n))]
        k=k+1
    for j in col:
        print(j)",j=='*',(j=='o')
"for i in range(int(input())):
    n,m=map(int,input().split())
    s=[list(input()) for j in range(n)]
    for _ in range(n):
        for a in reversed(range(n-1)):
            for b in range(m):
                if s[a][b]=='*':
                    if {{completion}}:
                        continue
                    else:
                        s[a][b]='.'
                        s[a+1][b]='*'
    for a in range(n):
        print(*s[a],sep='')",s[a+1][b]=='o' or s[a+1][b]=='*',s[a][b]=='*'
