eval_prompt,ground_truth,model_output
"n, k = map(int, input().split())
A = list(map(int, input().split()))

ans = 0
for i in range(n):
    C = [0]*n
    for j in range(n-1, -1, -1):
        if A[j] == 0:
            C[j] = 1
        if j+1 < n:
            C[j] += C[j+1]
    B = A.copy()
    s = sum(B)
    flag = True
    for j in range(n):
        if B[j] == 0:
            if j+1 < n:
                x = C[j+1]
            else:
                x = 0
            B[j] = min(k, x*k-s)
            if {{completion}}:
                flag = False
            s += B[j]
    if flag:
        pos = 0
        mn = 0
        mx = 0
        for j in range(n):
            pos += B[j]
            mn = min(mn, pos)
            mx = max(mx, pos)
        if pos == 0:
            ans = max(ans, mx-mn+1)
    A = A[1:]+A[0:1]

if ans != 0:
    print(ans)
else:
    print(-1)
",B[j] < -k,B[j] < -k
"MOD = 998244353
TRANS = [6, 3, 7, 4, 1, 0]
 
s = input().strip()
dp = [0] * 7 + [1]
for c in map(int, s):
    dp1 = [0] * 8
    for i in range(8):
        for k in TRANS:
            if c:
                dp1[k & i] += dp[i]
            elif {{completion}}:
                dp1[i] += dp[i]
    dp = [x % MOD for x in dp1]
n = int(s, base=2) + 1
print((n**3 + 3 * n**2 - n - 3 * sum(dp)) % MOD)",(k & i) == 0,(k&i)==0
"MOD=998244353
TRANS=[6,3,7,4,1,0]
s=input().strip()
dp=[0]*7+[1]
for c in map(int,s):
    dp1=[0]*8
    for i in range(8):
        for k in TRANS:
            if c:
                dp1[k&i]+=dp[i]
            elif{{completion}}:
                dp1[i]+=dp[i]
    dp=[x%MOD for x in dp1]
n=int(s,base=2)+1
print((n**3+3*n**2-n-3*sum(dp))%MOD)",(k&i)==0,(k&i)==0
"I=input
for _ in [0]*int(I()):
  I();p,z,zero=0,1,0
  for v in I().split():
    p+=int(v)
    if {{completion}}:z=0;break
    if p==0:zero=True
    if p<0:z=0;break
  print(['NO','YES'][zero and z])",zero and p>0,p==0
"I=input
for _ in [0]*int(I()):
  I();p,z,zero=0,1,0
  for v in I().split():
    p+=int(v)
    if zero and p>0:z=0;break
    if {{completion}}:zero=True
    if p<0:z=0;break
  print(['NO','YES'][zero and z])",p==0,zero and p>0
"import sys
input = lambda : sys.stdin.readline().rstrip()

dx = [-1, 0, 1, 0]
dy = [0, -1, 0, 1]


def solve():
    n = int(input())
    arr = list(map(int, input().split()))
    
    if sum(arr)!=0:
        return 0

    psum = 0
    f = 0
    
    for i in range(len(arr)):
        psum += arr[i]
        if psum < 0:
            return 0
        if psum==0:
            f = 1
        elif {{completion}}:
            return 0
        
    return 1


for __ in range(int(input())):
    print('Yes' if solve() else 'No')",f,psum == 0
"for _ in range(int(input())):
    n = int(input())
    a = list(map(int,input().split()))
    tot = a[0]

    for i in range(1, n):
        if tot < 0:
            break
        elif tot == 0:
            if {{completion}}:
                break
        else:
            tot += a[i]
    else:
        if tot == 0:
            print(""Yes"")
            continue

    print(""No"")
",a[i] != 0,a[i]==0
"from sys import stdin

t = int(stdin.readline())
for h in range(t):
    n = int(stdin.readline())
    a = list(map(int,stdin.readline().split(' ')))
    b = 0
    v = True
    for i in range(n):
        b += a[i]
        if b<0:
            v = False
            break
        elif b==0:
            for j in range(i+1,n):
                if {{completion}}:
                    v = False
                    break
            break
    if v and sum(a) == 0:
        print('YES')
    else:
        print('NO')",a[j] != 0,a[i]==0
"for _ in [0]*int(input()):
    input()
    n = list(map(int,input().split()))
    s,f,m = 0,0,0
    for i in n:
        s+=i
        if {{completion}}:m = 1;break
        if s==0:f=1
        if f and s>0:m=1;break
    print(""YNEOS""[(m or not f)::2])",s<0,s==0
"for _ in [0]*int(input()):
    input()
    n = list(map(int,input().split()))
    s,f,m = 0,0,0
    for i in n:
        s+=i
        if s<0:m = 1;break
        if {{completion}}:f=1
        if f and s>0:m=1;break
    print(""YNEOS""[(m or not f)::2])",s==0,s==0
"if __name__ == '__main__':
    t = int(input())

    for _ in range(t):
        n = int(input())
        a = [int(i) for i in input().split()]

        x = a[0]

        ok = True
        for v in a[1:]:
            if {{completion}}:
                ok = False
                break
            if x == 0 and v != 0:
                ok = False
                break
            x += v

        print(""yes"" if ok and x == 0 else ""no"")
",x < 0,x == 0 and v != 0
"if __name__ == '__main__':
    t = int(input())

    for _ in range(t):
        n = int(input())
        a = [int(i) for i in input().split()]

        x = a[0]

        ok = True
        for v in a[1:]:
            if x < 0:
                ok = False
                break
            if {{completion}}:
                ok = False
                break
            x += v

        print(""yes"" if ok and x == 0 else ""no"")
",x == 0 and v != 0,x < 0
"input = __import__('sys').stdin.readline


def solve():
    n = int(input())
    allzeros = False
    total = 0
    for x in map(int, input().split()):
        total += x
        if {{completion}}:
            print('No')
            return
        allzeros = allzeros or total == 0

    print('YES' if total == 0 else 'NO')


for _ in range(int(input())):
    solve()",total < 0 or total != 0 and allzeros,a[i]==0
"import sys
input=sys.stdin.readline
I = lambda : list(map(int,input().split()))

t,=I()
for _ in range(t):
	n, = I()
	l = I()
	pos = 0
	if sum(l)!=0 or l[-1]>0:
		pos=1
	else:
		pref = l[0]
		seen = 0
		if pref<0:
			pos=1
		if pref==0:
			seen = 1
		for i in range(1,n):
			pref+=l[i]
			if pref<0:
				pos=1
				break
			elif pref==0:
				seen = 1
			else:
				if {{completion}}:
					pos=1
					break
	print(""YNeos""[pos::2])",seen,s<0
"for t in range(int(input())):
    
    n=int(input())
    a=list(map(int,input().split()))
    i=n-1
    while(a[i]==0 and i!=0):
        i-=1 
    while(i>0):
        if a[i]>=0:
            print(""NO"")
            break
        a[i-1]+=a[i]
        i-=1
    else:
        if {{completion}}:
            print(""YES"")
        else:
            print(""NO"")
",a[i]==0,i==0
"for i in range(int(input())):
    n=int(input())
    c=[int(j) for j in input().split()]
    k=1
    if [0]*n==c:
        print('Yes')
    else:
        g=0
        while c[-1]==0:
            c.pop()
        while len(c)-1:
            if {{completion}}:
                k=0
                break
            g=g-c.pop()
        print(['No','Yes'][g==c[0] and k])",g<=c[-1],c[-1]==0
"import heapq as hq
INF = 1001001001
N, M = map(int, input().split())
G = [[] for _ in range(N)]
d = [0] * N
for _ in range(M):
    U, V = map(int, input().split())
    G[V - 1].append(U - 1)
    d[U - 1] += 1

dists = [INF] * N
dists[N - 1] = 0
queue = [(0, N - 1)]
while queue:
    dist, V = hq.heappop(queue)
    if dists[V] < dist: continue
    for v in G[V]:
        if {{completion}}:
            dists[v] = dist + d[v]
            hq.heappush(queue, (dist + d[v], v))
        d[v] -= 1
print(dists[0])",dist + d[v] < dists[v],dists[V] < dist
"from heapq import*;I=input;R=lambda:map(int,I().split())
n,m=R();g,q,vis=[[] for _ in range(n)],[(0,n-1)],[0]*n
d,out=[m+1]*n,[0]*n;d[-1]=0
for _ in range(m):u,v=R();u,v=u-1,v-1;g[v].append(u);out[u]+=1
while q:
  _,u=heappop(q)
  if vis[u]:continue
  vis[u]=1
  for v in g[u]:
    if {{completion}}:d[v]=d[u]+out[v];heappush(q,(d[v],v))
    out[v]-=1
print(d[0])",d[u]+out[v]<d[v],d[v]>d[u]+out[v]
"


import sys
input=sys.stdin.readline #文字列入力はするな！！
from heapq import *

n,m=map(int,input().split())
root=[[] for i in range(n+2)]
rootinv=[[] for i in range(n+2)]
no=[0]*(n+2)
for i in range(m):
    u,v=map(int,input().split())
    root[u].append(v)
    rootinv[v].append(u)
    no[u]+=1
dp=[10**18]*(n+3)
dp[n]=0
hp=[(0,n)]
while hp:
    c,x=heappop(hp)
    if dp[x]<c:continue
    for y in rootinv[x]:
        no[y]-=1
        cost=no[y]+1
        if {{completion}}:
            dp[y]=dp[x]+cost
            heappush(hp,(dp[y],y))
print(dp[1])



",dp[y]>dp[x]+cost,dp[x]<dp[x]
"import sys, heapq
input=sys.stdin.readline

n,m=map(int,input().split())
iadj=[{} for _ in range(n)]  # inverted road
nadj=[0]*n
dist=[n+1]*n
cost=[float(""inf"")]*n
visit=[0]*n

for _ in range(m):
    v,u=map(int,input().split())
    v-=1
    u-=1
    pi=iadj[u].setdefault(v,0)
    iadj[u][v]=1+pi  # road from v->u
    nadj[v]+=1

q = [(0,n-1)]
cost[n-1]=0
while q:
    d,v=heapq.heappop(q)
    if visit[v]:
        continue
    visit[v]=1
    for u in iadj[v]:
        nadj[u]-=iadj[v][u]
        if {{completion}}:
            cost[u]=cost[v]+nadj[u] + 1
            heapq.heappush(q, (cost[u], u))

print(cost[0])",cost[v] + nadj[u] + 1 < cost[u],cost[u]=cost[v]+nadj[u] + 1
"input = __import__('sys').stdin.readline


n = int(input())
a = list(map(int, input().split())) + [n+1]


ans = 0
cache = {}
for i in range(n):
    u = 0
    d = n+1
    
    keys = []
    j = i
    while j+1 <= n:
        key = (j, u, d)
        v = cache.get(key, -1)
        if v != -1:
            j = v
            break
        
        keys.append(key)
        # greedy
        if u < a[j] < d: # if can insert to both
            if a[j] < a[j+1]:
                u = max(u, a[j])
            elif {{completion}}:
                d = min(d, a[j])
        elif u < a[j]: # if only can insert to increasing subsequence
            u = a[j]
        elif d > a[j]: # if only can insert to decreasing subsequence
            d = a[j]
        else:
            break

        j += 1
    
    for key in keys:
        cache[key] = j

    ans += j - i
    # print(f'at {i} max {j} ans {ans}', u, d)

# print(f'count={len(cache)}')
print(ans)
",a[j] > a[j+1],a[j] > a[j+1]
"input = __import__('sys').stdin.readline


n = int(input())
a = list(map(int, input().split())) + [n+1]

cache = {}
def check(i, u, d):
    keys = []
    j = i
    while j+1 <= n:
        key = (j, u, d)
        v = cache.get(key, -1)
        if v != -1:
            j = v
            break
        
        keys.append(key)
        if u < a[j] < d: # if can insert to both
            if a[j] < a[j+1]:
                u = max(u, a[j])
            elif {{completion}}:
                d = min(d, a[j])
        elif u < a[j]: # if only can insert to increasing subsequence
            u = a[j]
        elif d > a[j]: # if only can insert to decreasing subsequence
            d = a[j]
        else:
            break

        j += 1
    
    for key in keys:
        cache[key] = j
    
    return j

ans = 0
for i in range(n):
    u = 0
    d = n+1
    j = check(i, u, d)
    ans += j - i
    # print(f'at {i} max {j} ans {ans}', u, d)

# print(f'count={count}')
print(ans)
",a[j] > a[j+1],a[j] > a[j+1]
"#from niumeng

from itertools import accumulate
I=input;R=lambda:map(int,I().split())
n,q=R();a=sorted(R())[::-1];p=[0]+list(accumulate(a))
for {{completion}}:
  x,y=R();print(p[x]-p[x-y])
",_ in range(q),"_ in "" ""*q"
"n, q = [int(x) for x in input().split()]
prices = [int(price) for price in input().split("" "")]
prices.sort(reverse=True)
for {{completion}}:
    prices[i] += prices[i-1]
 
while q:
    # 5 5 3 2 1
    # 5 10 13 15 16
    x, y = [int(x) for x in input().split()]
    l = 0 if x == y else prices[x - y - 1]
    print(prices[x-1] - l)
    q -= 1","i in range(1, len(prices))",q
"n, q = [int(x) for x in input().split()]
prices = [int(price) for price in input().split("" "")]
prices.sort(reverse=True)
for i in range(1, len(prices)):
    prices[i] += prices[i-1]
 
while {{completion}}:
    # 5 5 3 2 1
    # 5 10 13 15 16
    x, y = [int(x) for x in input().split()]
    l = 0 if x == y else prices[x - y - 1]
    print(prices[x-1] - l)
    q -= 1",q,"i in range(1, len(prices))"
"n,q=map(int,input().split())
a=[0]
for {{completion}}:a+=a[-1]+x,
for _ in[0]*q:x,y=map(int,input().split());print(a[x]-a[x-y])
","x in sorted(map(int,input().split()))[::-1]",_ in[0]*q
"n,q=map(int,input().split())
a=[0]
for x in sorted(map(int,input().split()))[::-1]:a+=a[-1]+x,
for {{completion}}:x,y=map(int,input().split());print(a[x]-a[x-y])
",_ in[0]*q,"x in sorted(map(int,input().split()))[::-1]"
"f=open(0)
R=lambda:map(int,next(f).split())
n,q=R();p=[0]
for {{completion}}: p+=p[-1]+w,
for _ in "" ""*q: x, y=R();print(p[n-x+y]-p[n-x])
",w in sorted(R()),"_ in "" ""*q"
"f=open(0)
R=lambda:map(int,next(f).split())
n,q=R();p=[0]
for w in sorted(R()): p+=p[-1]+w,
for {{completion}}: x, y=R();print(p[n-x+y]-p[n-x])
","_ in "" ""*q",w in sorted(R())
"from sys import stdin
# t = int(stdin.readline().rstrip())
# while t>0:
    
#     t-=1
n,q = map(int,stdin.readline().split())
l = list(map(int,stdin.readline().split()))
l.sort()
for i in range(1,n):
    l[i] += l[i-1]
# print(l)
for i in range(q):
    x,y = map(int,stdin.readline().split())
    actual = n-x+y-1
    val = l[actual]
    if {{completion}}:
        val -= l[n-x-1]
    print(val)
    ",n-x > 0,"x in sorted(map(int,input().split()))[::-1]"
"Y=lambda:map(int,input().split())
O=[];n,q=Y();p=sorted(Y())[::-1];s=[0]
for {{completion}}:s+=[s[-1]+i]
for _ in[0]*q:x,y=Y();O+=[str(s[x]-s[x-y])]
print('\n'.join(O))",i in p,_ in[0]*q
"Y=lambda:map(int,input().split())
O=[];n,q=Y();p=sorted(Y())[::-1];s=[0]
for i in p:s+=[s[-1]+i]
for {{completion}}:x,y=Y();O+=[str(s[x]-s[x-y])]
print('\n'.join(O))",_ in[0]*q,_ in[0]*q
"arr=[int(i) for i in input().split()]
ans=[]
prices=[int(i) for i in input().split()]
prices.sort(reverse=True)
for i in range(1,arr[0]):
    prices[i]=prices[i]+prices[i-1]
    
for i in range(arr[1]):
    xy=[int(i) for i in input().split()]
    if{{completion}}:
        ans.append(prices[xy[0]-1])
    else:
        ans.append(prices[xy[0]-1]-prices[xy[0]-xy[1]-1])
for ele in ans:
    print(ele)",(xy[0]==xy[1]),q
"import sys

n, p = map(int, sys.stdin.readline().split())
l = map(int, sys.stdin.readline().split())
l = sorted(l, reverse=True)

for i in range(n-1, 0, -1):
    l[i-1] += l[i]

for _ in range(p):
    xi, yi = map(int, sys.stdin.readline().split())
    a = n-xi
    b = a+yi

    if {{completion}}:
        print(l[-b])
    else:
        print(l[-b]-l[-a])
",a == 0,_ in[0]*q
"## cf does not have numpy so with lists
r=open(0)
g=lambda:map(int,next(r).split())
n,q=g()
a=[0]
for {{completion}}:a+=a[-1]+x,
for b in[0]*q:x,y=g();print(a[x]-a[x-y])


",x in sorted(g())[::-1],b in[0]*q
"## cf does not have numpy so with lists
r=open(0)
g=lambda:map(int,next(r).split())
n,q=g()
a=[0]
for x in sorted(g())[::-1]:a+=a[-1]+x,
for {{completion}}:x,y=g();print(a[x]-a[x-y])


",b in[0]*q,x in sorted(g())[::-1]
"(n, q) = map(int, input().split())
arr = list(map(int, input().split()))
arr.sort(reverse=True)
for i in range (1,n):
   arr[i] = arr[i] + arr[i-1]
for trial in range(q):
    (x, y) = map(int, input().split())
    if {{completion}}:
        print (arr[x-1])
    else:
        print (arr[x-1] - arr[x-y-1])",(x==y),"x in sorted(map(int,input().split()))[::-1]"
"from collections import deque

def solve():
    n = int(input())
    MOD = 998244353
    arr = [list(map(int, input().split())) for i in range(n)]
    dis = [[10**9]*n for i in range(n)]
    for i in range(n):
        for j in range(n):
            if i != j:
                dis[i][j] = abs(arr[i][0]-arr[j][0]) + abs(arr[i][1]-arr[j][1])
    g = [[] for i in range(n)]
    adj = [[0]*n for i in range(n)]
    for i in range(n):
        m = min(dis[i])
        for j in range(n):
            if dis[i][j] == m:
                g[i].append(j)
                adj[i][j] = 1

    gr = []
    for i in range(n):
        cur = []
        queue = deque()
        queue.append(i)
        v = [0] * n
        v[i] = 1
        while queue:
            x = queue.popleft()
            cur.append(x)
            for y in g[x]:
                if {{completion}}:
                    v[y] = 1
                    queue.append(y)
        ok = 1
        for x in cur:
            for y in cur:
                if x != y and adj[x][y] == 0:
                    ok = 0
                    break
        if ok:
            if min(cur) == i:
                gr.append(len(cur))
        else:
            gr.append(1)
    dp = [0]*(n+1)
    dp[0] = 1
    for a in gr:
        dp1 = [0]*(n+1)
        for i in range(n):
            dp1[i+1] = (dp1[i+1]+dp[i])%MOD
            if a > 1 and i+a <= n:
                dp1[i+a] = (dp1[i+a]+dp[i])%MOD
        dp = dp1
    ans = 0
    k = n
    for i in range(1, n+1):
        ans = (ans+dp[i]*k)%MOD
        k = k*(n-i)%MOD
    return ans


import sys
input = lambda: sys.stdin.readline().rstrip()
print(solve())
",v[y] == 0,x != y and adj[x][y] == 0
"from collections import deque

def solve():
    n = int(input())
    MOD = 998244353
    arr = [list(map(int, input().split())) for i in range(n)]
    dis = [[10**9]*n for i in range(n)]
    for i in range(n):
        for j in range(n):
            if i != j:
                dis[i][j] = abs(arr[i][0]-arr[j][0]) + abs(arr[i][1]-arr[j][1])
    g = [[] for i in range(n)]
    adj = [[0]*n for i in range(n)]
    for i in range(n):
        m = min(dis[i])
        for j in range(n):
            if dis[i][j] == m:
                g[i].append(j)
                adj[i][j] = 1

    gr = []
    for i in range(n):
        cur = []
        queue = deque()
        queue.append(i)
        v = [0] * n
        v[i] = 1
        while queue:
            x = queue.popleft()
            cur.append(x)
            for y in g[x]:
                if v[y] == 0:
                    v[y] = 1
                    queue.append(y)
        ok = 1
        for x in cur:
            for y in cur:
                if {{completion}}:
                    ok = 0
                    break
        if ok:
            if min(cur) == i:
                gr.append(len(cur))
        else:
            gr.append(1)
    dp = [0]*(n+1)
    dp[0] = 1
    for a in gr:
        dp1 = [0]*(n+1)
        for i in range(n):
            dp1[i+1] = (dp1[i+1]+dp[i])%MOD
            if a > 1 and i+a <= n:
                dp1[i+a] = (dp1[i+a]+dp[i])%MOD
        dp = dp1
    ans = 0
    k = n
    for i in range(1, n+1):
        ans = (ans+dp[i]*k)%MOD
        k = k*(n-i)%MOD
    return ans


import sys
input = lambda: sys.stdin.readline().rstrip()
print(solve())
",x != y and adj[x][y] == 0,v[y] == 0
"for {{completion}}:
    r = int(input())
    print('Division', 4 - sum(r >= p for p in (1400, 1600, 1900)))
",_ in range(int(input())),1600 <= b <= 1899
"for {{completion}}:r=int(n)/100;print('Division',1+(r<19)+(r<16)+(r<14))",n in[*open(0)][1:],for i in range(int(input()))
"from bisect import bisect
b = [-5001, 1400, 1600, 1900]
for {{completion}}: print(f'Division {-bisect(b, int(input()))+5}')",i in range(int(input())),"b = [-5001, 1400, 1600, 1900]"
"n=int(input())
while n:
    num=int(input())
    if num>=1900:print(""Division 1"")
    elif {{completion}}:print(""Division 2"")
    elif num>=1400:print(""Division 3"")
    else:print(""Division 4"")
    n-=1",num>=1600,num>=1400
"n=int(input())
while n:
    num=int(input())
    if num>=1900:print(""Division 1"")
    elif num>=1600:print(""Division 2"")
    elif {{completion}}:print(""Division 3"")
    else:print(""Division 4"")
    n-=1",num>=1400,num>=1600
"def div(n):
    return 1 if n >= 1900 else 2 if n >= 1600 else 3 if n >= 1400 else 4

for {{completion}}:
    print(f'Division {div(int(input()))}')
",_ in range(int(input())),for i in range(int(input()))
"x = input()
for i in range(int(x)):
    z = input()
    if int(z) >= 1900:
        print('Division 1')
    elif {{completion}}:
        print('Division 2')
    elif int(z) >= 1400:
        print('Division 3')
    else:
        print('Division 4')
",int(z) >= 1600,z >= 1600 and z < 1900
"x = input()
for i in range(int(x)):
    z = input()
    if int(z) >= 1900:
        print('Division 1')
    elif int(z) >= 1600:
        print('Division 2')
    elif {{completion}}:
        print('Division 3')
    else:
        print('Division 4')
",int(z) >= 1400,z >= 1600 and z <1900
"k = 0
a = int(input())
for x in range(1, a+1):
    b = int(input())
    if 1900<= b:
        d = 1
    elif {{completion}}:
        d = 2
    elif 1400 <= b <= 1599:
        d = 3
    elif b <= 1399:
        d = 4
    print('Division', d)",1600 <= b <= 1899,1400 <= b <= 1599
"k = 0
a = int(input())
for x in range(1, a+1):
    b = int(input())
    if 1900<= b:
        d = 1
    elif 1600 <= b <= 1899:
        d = 2
    elif {{completion}}:
        d = 3
    elif b <= 1399:
        d = 4
    print('Division', d)",1400 <= b <= 1599,1600 <= b <= 1899
"t = int(input())
while t > 0:
	n = int(input())
	if n >= 1900:
		print(""Division"",1)
	elif {{completion}}:
		print(""Division"", 2)
	elif n >= 1400 and n < 1600:
		print(""Division"", 3)
	else:
		print(""Division"",4)
	t -= 1
",n >= 1600 and n <1900,int(z) >= 1400
"t = int(input())
while t > 0:
	n = int(input())
	if n >= 1900:
		print(""Division"",1)
	elif n >= 1600 and n <1900:
		print(""Division"", 2)
	elif {{completion}}:
		print(""Division"", 3)
	else:
		print(""Division"",4)
	t -= 1
",n >= 1400 and n < 1600,int(z) >= 1400
"x=int(input(""""))
for i in range (x):
    c=int(input(""""))
    if c<=1399:
        print("" Division 4"")
    elif {{completion}}:
        print("" Division 3"")
    elif 1600<=c<=1899:
       print("" Division 2"") 
    else :
       print("" Division 1"")",1400<=c<=1599,c<=1399
"x=int(input(""""))
for i in range (x):
    c=int(input(""""))
    if c<=1399:
        print("" Division 4"")
    elif 1400<=c<=1599:
        print("" Division 3"")
    elif {{completion}}:
       print("" Division 2"") 
    else :
       print("" Division 1"")",1600<=c<=1899,c<=1399
"'''
How pros write B)
'''

for {{completion}}:
    x = int(input())
    print(""Division 4"" if x < 1400 else ""Division 3"" if x < 1600 else ""Division 2"" if x < 1900 else ""Division 1"")",i in range(int(input())),"<|/ q dscore=0 |>
<| c |>
What have you tried so far? Where are you stuck?
<|/ c |>
<| c |>
I tried to solve this problem by myself but i couldn't do it
<|/ c |>
<| c |>
Please show your attempt.
<|/ c |>
<| c |>
I edited the question and added the code
<|/ c |>
<| c |>
Please [edit] your question to include your code. Don't post code in comments.
<|/ c |>
<| a tags=python |>
<code>
"
